"name_group","decision","quarantined_from_enrichment","candidate_keys","addresses","reason","official_evidence_urls"
"ja:京都府:石田神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:260000056500 | geoshape-nrct-poi:260000056900","京都府 八幡市 上津屋里垣内77番地 | 京都府 八幡市 岩田里35番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:京都府:荒見神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:260000060300 | geoshape-nrct-poi:260000064800","京都府 久世郡久御山町 田井小字荒見49番地 | 京都府 城陽市 富野荒見田富野165番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:京都府:萬福寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B_V1_PROPOSED:60314 | geoshape-nrct-poi:260000070000","Sanbanwari-34 Gokasho, Uji-shi, Kyoto-fu | 京都府 京都市 南区久世大藪町319番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:京都府:許波多神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:260000069500 | geoshape-nrct-poi:260000070600","京都府 宇治市 木幡東中1番地 | 京都府 宇治市 五ケ庄古川13番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:京都府:詩仙堂","MERGED_SUPPORTED","false","geoshape-nrct-poi:270000034400","27 Ichijoji Monguchi-cho, Sakyo-ku, Kyoto-shi, Kyoto-fu / 京都府 京都市左京区 一乗寺門口町","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:京都府:須賀神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:260000046900 | geoshape-nrct-poi:270000051500","京都府 京田辺市 打田宮本91番地1 | 京都府 京都市 左京区聖護院円頓美町1番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:佐賀県:八坂神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:420000024700 | geoshape-nrct-poi:420000025100","佐賀県 鳥栖市 田代新町130番地 | 佐賀県 鳥栖市 田代新町130番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:佐賀県:吉野ヶ里遺跡","MERGED_SUPPORTED","false","geoshape-nrct-poi:420000041500","1843 Tade, Yoshinogari-cho, Kanzaki-gun, Saga-ken / 佐賀県 神埼郡吉野ヶ里町 田手","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:佐賀県:老松神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:420000019500 | geoshape-nrct-poi:420000028600","佐賀県 三養基郡基山町 大字小倉1309番地 | 佐賀県 三養基郡基山町 大字小倉1309番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:兵庫県:中山寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B_V1_PROPOSED:60619 | geoshape-nrct-poi:290000102600"," | 兵庫県 神戸市 東灘区森南町二丁目9番10号","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.","https://www.saikoku33.gr.jp/place/24"
"ja:兵庫県:八幡神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:290000025100 | geoshape-nrct-poi:290000104500","兵庫県 神戸市 北区山田町中字宮ノ片山田町中57番地 | 兵庫県 宝塚市 波豆字谷田東掛波豆2番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:兵庫県:善福寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:290000028000 | geoshape-nrct-poi:290000046000","兵庫県 神戸市 北区有馬町1645番地 | 兵庫県 豊岡市 日高町夏栗539番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:北海道:湯倉神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B-SNS-20260915-R02-131 | geoshape-nrct-poi:010000054100","北海道函館市湯川町2-28-1 | 北海道 上磯郡知内町 字湯ノ里284番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:和歌山県:大師堂跡","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:310000020100 | geoshape-nrct-poi:310000031400","和歌山県 伊都郡高野町 大字高野山 | 和歌山県 伊都郡高野町 大字高野山","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:和歌山県:宝来山神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B-SNS-20260915-R05-024 | geoshape-nrct-poi:310000041800","和歌山県伊都郡かつらぎ町萩原56番地 | 和歌山県 和歌山市 伊太祈曽558番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:大分県:八幡社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:450000017200 | geoshape-nrct-poi:450000105300","大分県 大分市 大字竹中1134番地 | 大分県 大分市 大字竹中1134番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:大分県:八幡神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:450000015400 | geoshape-nrct-poi:450000020300","大分県 宇佐市 安心院町松本105番地 | 大分県 中津市 三光臼木1695番地1","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:大分県:宝陀寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:450000072500 | geoshape-nrct-poi:450000092900","大分県 宇佐市 大字麻生3520番地 | 大分県 杵築市 大田沓掛1361番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:大分県:熊野磨崖仏","MERGED_SUPPORTED","false","geoshape-nrct-poi:450000106300","2546-3 Tashibuhirano, Bungotakada-shi, Oita-ken / 大分県 豊後高田市 田染平野","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:大阪府:勝尾寺","MERGED_SUPPORTED","false","geoshape-nrct-poi:280000077300","大阪府 箕面市 大字粟生間谷2914番地","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://shinbutsureijou.com/reijou/katsuouji/"
"ja:大阪府:茶臼山古墳","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:280000044000 | geoshape-nrct-poi:280000079700","大阪府 茨木市 太田三丁目 | 大阪府 池田市 五月丘一丁目","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:奈良県:大坂山口神社","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:300000047300 | geoshape-nrct-poi:300000048100","奈良県 奈良市 都祁小山戸町640番地 | 奈良県 奈良市 都祁小山戸町640番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:奈良県:椿井城跡","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:260000025400 | geoshape-nrct-poi:300000017900","奈良県 生駒郡平群町 大字椿井 | 奈良県 生駒郡平群町 大字椿井","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:奈良県:極楽寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:300000030300 | geoshape-nrct-poi:300000034000","奈良県 大和郡山市八条町 694番地 | 奈良県 生駒郡安堵町 大字東安堵1453番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:奈良県:法楽寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:300000041500 | geoshape-nrct-poi:300000048600","奈良県 生駒市 高山町6601番地 | 奈良県 磯城郡田原本町 大字黒田360番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:奈良県:法隆寺","MERGED_SUPPORTED","false","geoshape-nrct-poi:300000028500","奈良県 生駒郡斑鳩町 法隆寺山内1番","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://www.japan.travel/en/spot/2000/"
"ja:宮城県:竹駒神社","MERGED_SUPPORTED","false","geoshape-nrct-poi:040000055300","宮城県 岩沼市 稲荷町1番 / 宮城県岩沼市稲荷町1-1","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:宮崎県:八幡神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:460000044500 | geoshape-nrct-poi:460000066900","宮崎県 児湯郡都農町 大字川北4154番地 | 宮崎県 児湯郡都農町 大字川北4154番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:宮崎県:吉祥寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:460000018700 | geoshape-nrct-poi:460000080900","宮崎県 延岡市 北川町川内名6755番地 | 宮崎県 宮崎市 佐土原町上田島469番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:宮崎県:西都原古墳群","MERGED_SUPPORTED","false","geoshape-nrct-poi:460000071000","Miyake, Saito-shi, Miyazaki-ken / 宮崎県 西都市 大字三宅","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:山口県:岩隈八幡宮","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:360000028800 | geoshape-nrct-poi:360000029700","山口県 岩国市 周東町祖生7184番地 | 山口県 岩国市 周東町祖生7184番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:山口県:椎尾八幡宮","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:360000035000 | geoshape-nrct-poi:360000046200","山口県 岩国市 角82番地 | 山口県 岩国市 角82番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:山口県:河内神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:360000019200 | geoshape-nrct-poi:360000023700","山口県 山口市 阿東生雲中2155番地 | 山口県 山口市 阿東生雲中2155番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:山口県:瑞相寺","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:360000036000 | geoshape-nrct-poi:360000049100","山口県 柳井市 柳井津308番地 | 山口県 柳井市 柳井津308番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:山口県:賀茂神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:360000041100 | geoshape-nrct-poi:360000051200 | geoshape-nrct-poi:360000064500","山口県 光市 大字三井一丁目22番 | 山口県 光市 大字三井一丁目22番 | 山口県 光市 大字三井一丁目22番","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:山形県:上杉神社","MERGED_SUPPORTED","false","geoshape-nrct-poi:060000016300","1-4 Marunouchi, Yonezawa-shi, Yamagata-ken / 山形県 米沢市 丸の内一丁目4番13号","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:山形県:八乙女八幡神社","MERGED_SUPPORTED","false","geoshape-nrct-poi:060000052700","山形県 西置賜郡白鷹町 大字荒砥甲 / 山形県西置賜郡白鷹町荒砥甲","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:山形県:大宮子易両神社","MERGED_SUPPORTED","false","geoshape-nrct-poi:060000047500","山形県 西置賜郡小国町 大字大宮243番地1 / 山形県西置賜郡小国町大字大宮237","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://oomiya-koyasu.or.jp/ | https://yamagata-jinjyacho.or.jp/shrine_detail/08019"
"ja:山梨県:北口本宮冨士浅間神社","HOLD_CROSS_SOURCE_LOCATION_CONFLICT","true","candidate:B_V1_PROPOSED:60062 | geoshape-nrct-poi:190000041200","Katsuyama, Fujikawaguchiko-machi, Minamitsuru-gun, Yamanashi-ken | 山梨県 富士吉田市 上吉田5558番地","Primary/locality evidence conflicts with the retained house number, neighborhood or historical point. Preserve source identities separately; do not invent an address correction or assert an alias.",""
"ja:山梨県:清水家陣屋跡","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:190000048100 | geoshape-nrct-poi:190000062300","山梨県 笛吹市 春日居町下岩下 | 山梨県 山梨市 北","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:山梨県:金桜神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:190000045500 | geoshape-nrct-poi:190000061700","山梨県 山梨市 牧丘町杣口2919番地 | 山梨県 山梨市 万力3557番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:三輪神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B-SNS-20260915-R09-244 | geoshape-nrct-poi:210000103100 | geoshape-nrct-poi:210000193000","岐阜県揖斐郡揖斐川町三輪1322 | 岐阜県 中津川市 付知町410番地2 | 岐阜県 岐阜市 三輪965番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:下田遺跡","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000318100 | geoshape-nrct-poi:210000379600","岐阜県 恵那市 三郷町野井 | 岐阜県 郡上市 八幡町旭","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:八幡神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:210000080000 | geoshape-nrct-poi:210000092700 | geoshape-nrct-poi:210000143100 | geoshape-nrct-poi:210000204200 | geoshape-nrct-poi:210000232000 | geoshape-nrct-poi:210000276700 | geoshape-nrct-poi:210000294700 | geoshape-nrct-poi:210000307900 | geoshape-nrct-poi:210000328900 | geoshape-nrct-poi:210000332600 | geoshape-nrct-poi:210000333400","岐阜県 大垣市 西外側町一丁目1番地 | 岐阜県 大垣市 多芸島二丁目1番地 | 岐阜県 岐阜市 前一色二丁目1番6号 | 岐阜県 岐阜市 前一色二丁目1番6号 | 岐阜県 郡上市八幡町小野 字ヒツツリ7番地 | 岐阜県 岐阜市 前一色二丁目1番6号 | 岐阜県 土岐市 妻木町3051番地 | 岐阜県 恵那市 岩村町18番地 | 岐阜県 岐阜市 前一色二丁目1番6号 | 岐阜県 下呂市 森1321番地 | 岐阜県 下呂市 乗政1009番地の1","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:岐阜県:円城寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000388600 | geoshape-nrct-poi:210000390500","岐阜県 飛騨市 神岡町殿425番地 | 岐阜県 飛騨市 神岡町船津1129番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:南宮神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000036400 | geoshape-nrct-poi:210000261500","岐阜県 加茂郡川辺町 下吉田220番地 | 岐阜県 加茂郡八百津町 錦織字美名ケ洞542番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:大船神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000258400 | geoshape-nrct-poi:210000314000","岐阜県 加茂郡八百津町 八百津4424番地 | 岐阜県 恵那市 上矢作町字高井戸1307番地の1","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:天神神社","MERGED_SUPPORTED","false","geoshape-nrct-poi:210000182500","岐阜県 岐阜市 大字長良1972番地 / 岐阜県岐阜市長良1972-1","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:岐阜県:安国寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000100100 | geoshape-nrct-poi:210000373300","岐阜県 揖斐郡池田町 小寺304番地 | 岐阜県 高山市 国府町西門前474番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:安楽寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000095600 | geoshape-nrct-poi:210000251100","岐阜県 大垣市 赤坂町756番地 | 岐阜県 加茂郡坂祝町 大針31番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:安養寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000227500 | geoshape-nrct-poi:210000290000","岐阜県 郡上市八幡町柳町 217番地 | 岐阜県 多治見市 白山町二丁目44番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:小島城跡","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000107900 | geoshape-nrct-poi:210000375800","岐阜県 揖斐郡揖斐川町 春日六合 | 岐阜県 飛騨市 古川町沼町","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:御井神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000043500 | geoshape-nrct-poi:210000201500","岐阜県 養老郡養老町 金屋237番地 | 岐阜県 各務原市 三井町五丁目8番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:手力雄神社","HOLD_CROSS_SOURCE_LOCATION_CONFLICT","true","candidate:B-SNS-20260915-R04-094 | geoshape-nrct-poi:210000196700","岐阜県各務原市那加長塚町1-87 | 岐阜県 各務原市 那加手力町4番地","Primary/locality evidence conflicts with the retained house number, neighborhood or historical point. Preserve source identities separately; do not invent an address correction or assert an alias.",""
"ja:岐阜県:日吉神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000071400 | geoshape-nrct-poi:210000071800 | geoshape-nrct-poi:210000229600","岐阜県 山県市 小倉666番地 | 岐阜県 本巣市 十四条895番地 | 岐阜県 郡上市八幡町島谷 683番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:明知城跡","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000283200 | geoshape-nrct-poi:210000310500","岐阜県 可児市 羽生ケ丘五丁目 | 岐阜県 恵那市 明智町","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:春日神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000150600 | geoshape-nrct-poi:210000212700 | geoshape-nrct-poi:210000277100","岐阜県 本巣市 根尾神所550番地1 | 岐阜県 関市 南春日町1番地 | 岐阜県 山県市 椎倉110番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:本覚寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000127500 | geoshape-nrct-poi:210000393800","岐阜県 羽島市 竹鼻町2434番地 | 岐阜県 高山市 上宝町本郷1425番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:東光寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000156000 | geoshape-nrct-poi:210000259300","岐阜県 揖斐郡揖斐川町 若松83番地 | 岐阜県 加茂郡八百津町 八百津8329番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:林昌寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000309400 | geoshape-nrct-poi:210000375100","岐阜県 恵那市 山岡町久保原388番地 | 岐阜県 飛騨市 古川町片原町2番27号","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:正法寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000167900 | geoshape-nrct-poi:210000188200","岐阜県 岐阜市 大仏町8番地 | 岐阜県 岐阜市 大字小野小野598番地の1","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:正眼寺","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:210000271900 | geoshape-nrct-poi:210000390900","岐阜県 飛騨市 神岡町西漆山142番地 | 岐阜県 飛騨市 神岡町西漆山142番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:岐阜県:武並神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000307800 | geoshape-nrct-poi:210000316300","岐阜県 恵那市 岩村町2287番地1 | 岐阜県 恵那市 大井町1101番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:洞泉寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000230400 | geoshape-nrct-poi:210000382600","岐阜県 郡上市美並町上田 2984番地の1 | 岐阜県 飛騨市 宮川町林184番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
