"candidate_key_NOT_master_code","canonical_master_code","names_ja","names_en","prefectures","addresses","entity_types","historical_coordinates_NOT_navigation_verified","legacy_code_claims_NOT_approved","source_record_ids","source_urls","identity_status"
"candidate:B-20260914-R02-023","","師崎漁港朝市","Morozaki Fishing Port Morning Market","愛知県","","market","[]","","candidate:B-20260914-R02-023","https://www.morozaki.jp/asaichi/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-024","","平戸瀬戸市場","Hirado Seto Market","長崎県","","market","[]","","candidate:B-20260914-R02-024","https://setoichiba.com/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-027","","糸満市場いとま〜る","Itoman Market Itomaru","沖縄県","","market","[]","","candidate:B-20260914-R02-027","https://www.itoman-itomaru.okinawa/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-028","","石垣市公設市場","Ishigaki City Public Market","沖縄県","","market","[]","","candidate:B-20260914-R02-028","https://ishigaki-kousetsu-ichiba.com/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-029","","宝徳寺（桐生市）","Hotokuji Temple (Kiryu)","群馬県","","temple","[]","","candidate:B-20260914-R02-029","https://www.houtokuji.jp/abouthoutokuji.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-030","","佐助稲荷神社","Sasuke Inari Shrine","神奈川県","","shrine","[]","","candidate:B-20260914-R02-030","https://sasukeinari.jp/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-001","","五城目朝市","Gojome Morning Market","秋田県","","fixed_market_street","[]","","candidate:B-20260914-R03-001","https://www.town.gojome.akita.jp/kanko/asaiti/1184","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-002","","ゆりあげ港朝市","Yuriage Harbor Morning Market","宮城県","","market","[]","","candidate:B-20260914-R03-002","https://www.kankou.natori.miyagi.jp/shopping/1387/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-003","","老神温泉朝市","Oigami Onsen Morning Market","群馬県","","market","[]","","candidate:B-20260914-R03-003","https://www.city.numata.gunma.jp/event/tone/1003719.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-004","","高屋敷稲荷神社","Takayashiki Inari Shrine","福島県","","shrine","[]","","candidate:B-20260914-R03-004","https://www.kanko-koriyama.gr.jp/tourism/detail2-3-496.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-005","","深浦まるごと市場","Fukaura Marugoto Market","青森県","","market","[]","","candidate:B-20260914-R03-005","https://www.fukaura-marugoto.com/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-006","","金蛇水神社","Kanahebisui Shrine","宮城県","","shrine","[]","","candidate:B-20260914-R03-006","https://kanahebi.cdx.jp/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-007","","阿智神社","Achi Shrine","岡山県","","shrine","[]","","candidate:B-20260914-R03-007","https://www.kurashiki-tabi.jp/see/see-189/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-008","","須佐神社","Susa Shrine","島根県","","shrine","[]","","candidate:B-20260914-R03-008","https://www.kankou-shimane.com/destination/20275","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-009","","寳登山神社（山麓本社）","Hodosan Shrine (Main Shrine)","埼玉県","","shrine","[]","","candidate:B-20260914-R03-009","https://www.hodosan-jinja.or.jp/keidai/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-010","","櫻木神社（野田市）","Sakuragi Shrine (Noda)","千葉県","","shrine","[]","","candidate:B-20260914-R03-010","https://maruchiba.jp/spot/detail_10005.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-011","","大魚神社の海中鳥居","Ouo Shrine Sea Torii Gates","佐賀県","","religious_gate_group","[]","","candidate:B-20260914-R03-011","https://town.tara.lg.jp/kanko/_1901/_4175.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-012","","菅原神社（荒平天神）","Sugawara Shrine (Arahira Tenjin)","鹿児島県","","shrine","[]","","candidate:B-20260914-R03-012","https://www.city.kanoya.lg.jp/kankou/bunka/kanko/kanko/11.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-013","","武雄神社（武雄市）","Takeo Shrine (Takeo City)","佐賀県","","shrine","[]","","candidate:B-20260914-R03-013","https://www.takeo-kk.net/sightseeing/001294.php","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-014","","熊野大社（南陽市）","Kumano Taisha Shrine (Nanyo)","山形県","","shrine","[]","","candidate:B-20260914-R03-014","https://yamagatakanko.com/attractions/detail_1414.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-015","","大阪木津卸売市場","Osaka Kizu Wholesale Market","大阪府","","market","[]","","candidate:B-20260914-R03-015","https://kizu-ichiba.com/introduction/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-016","","泊いゆまち","Tomari Iyumachi Fish Market","沖縄県","","market","[]","","candidate:B-20260914-R03-016","https://www.tomariiyumachi.com/shop24.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-017","","五城目町森林資料館（五城目城）","Gojome Forestry Museum (Gojome Castle)","秋田県","","museum","[]","","candidate:B-20260914-R03-017","https://www.town.gojome.akita.jp/kanko/kankousyukuhakusisetu/kankosisetu/871","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R03-018","","倉敷美観地区","Kurashiki Bikan Historical Quarter","岡山県","","historic_district","[]","","candidate:B-20260914-R03-018","https://www.kurashiki-tabi.jp/standard/kurashiki-bikan-historical-quarter/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-001","","地中美術館","Chichu Art Museum","香川県","","art_museum","[]","","candidate:B-20260914-R04-001","https://benesse-artsite.jp/en/art/chichu.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-002","","ベネッセハウス ミュージアム","Benesse House Museum","香川県","","art_museum","[]","","candidate:B-20260914-R04-002","https://benesse-artsite.jp/en/art/benessehouse-museum.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-003","","李禹煥美術館","Lee Ufan Museum","香川県","","art_museum","[]","","candidate:B-20260914-R04-003","https://benesse-artsite.jp/en/art/lee-ufan.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-004","","豊島美術館","Teshima Art Museum","香川県","","art_museum","[]","","candidate:B-20260914-R04-004","https://benesse-artsite.jp/en/art/teshima-artmuseum.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-005","","豊島横尾館","Teshima Yokoo House","香川県","","art_museum","[]","","candidate:B-20260914-R04-005","https://benesse-artsite.jp/en/art/teshima-yokoohouse.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-006","","心臓音のアーカイブ","Les Archives du Cœur","香川県","","permanent_art_facility","[]","","candidate:B-20260914-R04-006","https://benesse-artsite.jp/en/art/boltanski.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-007","","犬島精錬所美術館","Inujima Seirensho Art Museum","岡山県","","art_museum","[]","","candidate:B-20260914-R04-007","https://www.japan.travel/en/spot/2357/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-008","","直島新美術館","Naoshima New Museum of Art","香川県","","art_museum","[]","","candidate:B-20260914-R04-008","https://benesse-artsite.jp/en/art/nnmoa.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-009","","直島銭湯「I♥湯」","Naoshima Bath I Love Yu","香川県","","art_bathhouse","[]","","candidate:B-20260914-R04-009","https://benesse-artsite.jp/en/art/naoshimasento.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-010","","赤かぼちゃ（直島・宮浦港）","Red Pumpkin (Naoshima)","香川県","","fixed_public_art","[]","","candidate:B-20260914-R04-010","https://naoshima.net/ja/art/art_miyanoura/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-011","","直島パヴィリオン","Naoshima Pavilion","香川県","","fixed_public_art","[]","","candidate:B-20260914-R04-011","https://naoshima.net/ja/art/art_miyanoura/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-013","","旧鈴木家住宅（足助）","Former Suzuki Family Residence (Asuke)","愛知県","","historic_house","[]","","candidate:B-20260914-R04-013","https://www.tourismtoyota.jp/spots/detail/656/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R04-014","","ロックハート城（高山村の施設）","Lockheart Castle Theme Park","群馬県","","theme_park","[]","","candidate:B-20260914-R04-014","https://lockheart.info/lockheart/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R05-001","","夢洲駅","Yumeshima Station","大阪府","","rail_station","[]","","candidate:B-20260914-R05-001","https://subway-tr.osakametro.co.jp/station_guide/C/c09/index.php","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R05-002","","高輪ゲートウェイ駅","Takanawa Gateway Station","東京都","","rail_station","[]","","candidate:B-20260914-R05-002","https://www.jreast.co.jp/estation/station/info.aspx?StationCd=1750","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R05-003","","神戸空港 第2ターミナル","Kobe Airport Terminal 2","兵庫県","","airport_terminal","[]","","candidate:B-20260914-R05-003","https://www.city.kobe.lg.jp/documents/81325/kobeairport_youkou202509.pdf","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R05-004","","minamoa","minamoa","広島県","","tourism_shopping_complex","[]","","candidate:B-20260914-R05-004","https://dive-hiroshima.com/explore/4450/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R05-005","","唐櫃港（豊島）","Teshima Karato Port","香川県","","island_port","[]","","candidate:B-20260914-R05-005","https://www.shodoshima-ferry.co.jp/access/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R05-006","","犬島港","Inujima Port","岡山県","","island_ferry_port","[]","","candidate:B-20260914-R05-006","https://www.akebonomaritime.com/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R05-007","","宝伝港","Hoden Port","岡山県","","island_ferry_port","[]","","candidate:B-20260914-R05-007","https://www.akebonomaritime.com/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R06-001","","森ビル デジタルアート ミュージアム：エプソン チームラボボーダレス（麻布台ヒルズ）","teamLab Borderless: MORI Building DIGITAL ART MUSEUM (Azabudai Hills)","東京都","","art_museum","[]","","candidate:B-20260914-R06-001","https://www.teamlab.art/jp/e/tokyo/?site=168","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R06-002","","金沢21世紀美術館","21st Century Museum of Contemporary Art, Kanazawa","石川県","","art_museum","[]","","candidate:B-20260914-R06-002","https://www.kanazawa-kankoukyoukai.or.jp/everyone/spot/detail_10066.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R06-003","","角川武蔵野ミュージアム","Kadokawa Culture Museum","埼玉県","","cultural_museum","[]","","candidate:B-20260914-R06-003","https://kadcul.com/guide/access","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R06-004","","鳥取砂丘 砂の美術館","The Sand Museum","鳥取県","","art_museum","[]","","candidate:B-20260914-R06-004","https://www.sand-museum.jp/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R06-005","","清津峡渓谷トンネル","Kiyotsu Gorge Tunnel (Tunnel of Light)","新潟県","","permanent_art_tunnel_facility","[]","","candidate:B-20260914-R06-005","https://nakasato-kiyotsu.com/about/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R06-006","","富士みち（本町通り）","Fuji Michi (Honcho Street)","山梨県","","tourism_shopping_street","[]","","candidate:B-20260914-R06-006","https://fujiyoshida.net/spot/index.php?p=410","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R06-007","","クリスマスツリーの木","Christmas Tree of Biei","北海道","","named_natural_landmark","[]","","candidate:B-20260914-R06-007","https://www.biei-hokkaido.jp/en/facility/christmas-tree","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R06-008","","チームラボ バイオヴォルテックス 京都 - 大成建設","teamLab Biovortex Kyoto","京都府","","art_museum","[]","","candidate:B-20260914-R06-008","https://ja.kyoto.travel/times/night/article/single.php?id=595","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0001","","六斎市（新潟県村上市）","Rokusaiichi","新潟県","新潟県村上市三之町（役所脇の道路三之町側）","named_market_destination","[]","","candidate:B-20260915-S0001","https://www.japan47go.travel/ja/detail/dbc05f55-a963-4a81-a796-1caa3611637c","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0003","","とくしまマルシェ","Tokushimamarushe","徳島県","徳島県徳島市東船場町1丁目　しんまちボードウォーク","market","[]","","candidate:B-20260915-S0003","https://www.japan47go.travel/ja/detail/f8f27646-8f57-452f-a7d1-7ca2be0bd274","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0004","","飛騨街道 天領朝市","Hidakaidou Tenryou Asaichi","岐阜県","岐阜県下呂市萩原町萩原1166-24","market","[]","","candidate:B-20260915-S0004","https://www.japan47go.travel/ja/detail/ba47da96-47cf-4417-8ef3-1452fcf24d40","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0008","","原村高原朝市","Haramurakougen Asaichi","長野県","長野県諏訪郡原村17217-1340","market","[]","","candidate:B-20260915-S0008","https://www.japan47go.travel/ja/detail/1b4a636a-7162-475d-b380-0ac28a45f7b8","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0011","","深江の朝市","Fukaeno Asaichi","大分県","大分県速見郡日出町大神5418","market","[]","","candidate:B-20260915-S0011","https://www.japan47go.travel/ja/detail/2f853b0d-b3c0-4e0b-a180-b2fd40ef7cda","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0012","","下呂温泉いでゆ朝市","Ideyu Asaichi","岐阜県","岐阜県下呂市森2369","market","[]","","candidate:B-20260915-S0012","https://www.japan47go.travel/ja/detail/faaddb75-4475-4b17-a465-e2ec07700d2b","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0017","","野沢温泉朝市","Nozawaonsen Asaichi","長野県","長野県下高井郡野沢温泉村大湯通り","market","[]","","candidate:B-20260915-S0017","https://www.japan47go.travel/ja/detail/936120b6-8c74-44f1-9af9-2e7892c230ab","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0020","","千曲川青空市","Chikumagawaaozoraichi","長野県","長野県千曲市戸倉上山田温泉水と緑と潤いのある公園内","named_market_destination","[]","","candidate:B-20260915-S0020","https://www.japan47go.travel/ja/detail/c68a90cc-e714-444e-8ca5-3c4930b3f0ed","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0021","","昼神温泉朝市","Hirugamionsen Asaichi","長野県","長野県下伊那郡阿智村智里朝市広場","market","[]","","candidate:B-20260915-S0021","https://www.japan47go.travel/ja/detail/8b1cba9a-b148-4950-b1fd-983147cfbfcc","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0028","","笠岡市大島美の浜漁協朝市","Kasaokashiooshimaminohamagyokyou Asaichi","岡山県","岡山県笠岡市大島中1839-1","market","[]","","candidate:B-20260915-S0028","https://www.japan47go.travel/ja/detail/fafe29bd-e999-43eb-81f1-90f826779a77","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0031","","湯原温泉あさ市","Yubaraonsen Asaichi","岡山県","岡山県真庭市湯原温泉湯","named_market_destination","[]","","candidate:B-20260915-S0031","https://www.japan47go.travel/ja/detail/b6688921-0b4c-461f-bb41-87b99f7c2f1f","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0035","","亀田定期露店市場(三・九の市)","Kamedateikirotenichiba(San Kunoichi)","新潟県","新潟県新潟市江南区東本町2～5","market","[]","","candidate:B-20260915-S0035","https://www.japan47go.travel/ja/detail/195952fa-9ad0-4ce1-9f49-633f1131ea7d","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0036","","新津市場（新津一・六市）","Niitsuichibaniitsuichirokuichi","新潟県","新潟県新潟市秋葉区新津本町1丁目","market","[]","","candidate:B-20260915-S0036","https://www.japan47go.travel/ja/detail/df294d53-f373-4335-b22b-88e0cc70d3bc","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0037","","大島美の浜漁協美の浜支所 朝市「瀬戸の市」","Ooshimaminohamagyokyouminohamashisho Asaichi「Setonoichi」","岡山県","岡山県笠岡市美の浜47","market","[]","","candidate:B-20260915-S0037","https://www.japan47go.travel/ja/detail/6c65bb9c-fda4-469d-a99b-30f2d4c5c510","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0038","","山ノ下市場","Yamanoshitaichiba","新潟県","新潟県新潟市東区山の下町","market","[]","","candidate:B-20260915-S0038","https://www.japan47go.travel/ja/detail/2aeae850-3d24-401b-b618-ff9e8a317bf1","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0039","","胎内市三八市","Tainaishisanpachiichi","新潟県","新潟県胎内市西栄町／熊野若宮神社境内周辺","market","[]","","candidate:B-20260915-S0039","https://www.japan47go.travel/ja/detail/3b589fe8-dd76-43db-af8a-f50fc84818f3","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0043","","鬼ノ城ふれあい青空市場","Kinojoufureaiaozoraichiba","岡山県","岡山県総社市黒尾（砂川公園入口）","market","[]","","candidate:B-20260915-S0043","https://www.japan47go.travel/ja/detail/d19a4bed-908d-49f7-8c90-5e8196b34247","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0044","","五・十の市","Gotounoichi","新潟県","新潟県長岡市坂之上町2丁目","market","[]","","candidate:B-20260915-S0044","https://www.japan47go.travel/ja/detail/ae68e8d1-ea8a-42d4-9d92-0e45a241cf34","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0045","","五泉市買物広場（五泉市定期露店市場）","Gosenshikaimonohiroba,Gosenshiteikirotenichiba","新潟県","新潟県五泉市太田1ほか","market","[]","","candidate:B-20260915-S0045","https://www.japan47go.travel/ja/detail/437f61a5-4c43-408d-9dc2-ca223e050ae1","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0048","","つむぎ通り「軽トラ市」","Tsumugidoorikeitoraichi","新潟県","新潟県南魚沼市","named_market_destination","[]","","candidate:B-20260915-S0048","https://www.japan47go.travel/ja/detail/8242c700-14b7-4f8f-824b-e25b26aa633a","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0052","","堺出島漁港とれとれ市","Sakaidejimagyokoutoretoreichi","大阪府","大阪府堺市堺区大浜西町23堺出島漁港内","named_market_destination","[]","","candidate:B-20260915-S0052","https://www.japan47go.travel/ja/detail/1f6a7d18-779f-45ad-b1b7-0a9f03a6103b","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0053","","金田漁港朝市","Kanedagyokou Asaichi","神奈川県","神奈川県三浦市南下浦町金田2277","market","[]","","candidate:B-20260915-S0053","https://www.japan47go.travel/ja/detail/768f6d16-2bb4-4f15-bbf8-77c7045eeef8","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0055","","泉佐野漁協青空市場","Izumisanogyokyouaozoraichiba","大阪府","大阪府泉佐野市新町2丁目5187-101","market","[]","","candidate:B-20260915-S0055","https://www.japan47go.travel/ja/detail/f94306cc-a816-48de-afeb-7f9b99aed3e0","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0091","","街＆丘の朝市","Machitookano Asaichi","青森県","青森県八戸市東白山台1丁目1-1グランドサンピア八戸正面玄関入口前","market","[]","","candidate:B-20260915-S0091","https://www.japan47go.travel/ja/detail/6f43c7b1-fe60-497c-ad20-990cb119bea3","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0092","","大館駅前朝市","Oodateekimae Asaichi","秋田県","秋田県大館市御成町一丁目（ＪＲ大館駅前）","market","[]","","candidate:B-20260915-S0092","https://www.japan47go.travel/ja/detail/06799548-59b4-4223-933a-ee1b7a30b878","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0095","","八戸駅前朝市","Hachinoheekimae Asaichi","青森県","青森県八戸市尻内町字館田八戸駅前（東口）","market","[]","","candidate:B-20260915-S0095","https://www.japan47go.travel/ja/detail/ac0930bd-8889-479a-9d58-e111fe1af1c4","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0096","","二・七の市","Nishichinoichi","愛知県","愛知県田原市田原町汐見５田原文化広場駐車場","market","[]","","candidate:B-20260915-S0096","https://www.japan47go.travel/ja/detail/42080337-7c04-44c2-aa42-f872c1438271","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0105","","三崎朝市","Misaki Asaichi","神奈川県","神奈川県三浦市三崎5-245-5","market","[]","","candidate:B-20260915-S0105","https://www.japan47go.travel/ja/detail/54ab7ade-b6d3-441d-8703-91fef89c0f4e","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0124","","増田の朝市","Masudano Asaichi","秋田県","秋田県横手市増田町増田字中町","market","[]","","candidate:B-20260915-S0124","https://www.japan47go.travel/ja/detail/e9c48628-d7e5-4f78-a87f-b59d4e565734","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260915-S0132","","柳橋連合市場","Yanagibashirengouichiba","福岡県","福岡県福岡市中央区春吉1-5-1","market","[]","","candidate:B-20260915-S0132","https://www.japan47go.travel/ja/detail/0c70cdef-ff1c-4504-95b9-2e6e394dea14","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
