"poi_id","destination_id","batch_id","tier","country_code","prefecture_code","selection_order","category","name_zh","name_ja","name_en","canonical_name","aliases","latitude","longitude","provider_type","provider_entity_id","official_url","source_mode","source_job_id","sm_variant_id","rights_status","status","authenticity","quota_exception_reason","review_notes"
"unresolved:jp-tokyo:20","jp-tokyo","JP-S-01","S","JP","tokyo","20","historic_religious","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:20","variant:jp-tokyo:poi:20:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:21","jp-tokyo","JP-S-01","S","JP","tokyo","21","historic_religious","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:21","variant:jp-tokyo:poi:21:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:22","jp-tokyo","JP-S-01","S","JP","tokyo","22","historic_religious","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:22","variant:jp-tokyo:poi:22:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:23","jp-tokyo","JP-S-01","S","JP","tokyo","23","nature_viewpoint","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:23","variant:jp-tokyo:poi:23:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:24","jp-tokyo","JP-S-01","S","JP","tokyo","24","nature_viewpoint","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:24","variant:jp-tokyo:poi:24:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:25","jp-tokyo","JP-S-01","S","JP","tokyo","25","nature_viewpoint","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:25","variant:jp-tokyo:poi:25:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:26","jp-tokyo","JP-S-01","S","JP","tokyo","26","nature_viewpoint","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:26","variant:jp-tokyo:poi:26:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:27","jp-tokyo","JP-S-01","S","JP","tokyo","27","nature_viewpoint","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:27","variant:jp-tokyo:poi:27:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:28","jp-tokyo","JP-S-01","S","JP","tokyo","28","family_theme","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:28","variant:jp-tokyo:poi:28:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:29","jp-tokyo","JP-S-01","S","JP","tokyo","29","family_theme","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:29","variant:jp-tokyo:poi:29:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:30","jp-tokyo","JP-S-01","S","JP","tokyo","30","family_theme","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:30","variant:jp-tokyo:poi:30:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:31","jp-tokyo","JP-S-01","S","JP","tokyo","31","family_theme","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:31","variant:jp-tokyo:poi:31:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:32","jp-tokyo","JP-S-01","S","JP","tokyo","32","district_neighborhood","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:32","variant:jp-tokyo:poi:32:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:33","jp-tokyo","JP-S-01","S","JP","tokyo","33","district_neighborhood","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:33","variant:jp-tokyo:poi:33:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:34","jp-tokyo","JP-S-01","S","JP","tokyo","34","district_neighborhood","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:34","variant:jp-tokyo:poi:34:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:35","jp-tokyo","JP-S-01","S","JP","tokyo","35","district_neighborhood","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:35","variant:jp-tokyo:poi:35:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:36","jp-tokyo","JP-S-01","S","JP","tokyo","36","market_shopping","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:36","variant:jp-tokyo:poi:36:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:37","jp-tokyo","JP-S-01","S","JP","tokyo","37","market_shopping","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:37","variant:jp-tokyo:poi:37:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:38","jp-tokyo","JP-S-01","S","JP","tokyo","38","market_shopping","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:38","variant:jp-tokyo:poi:38:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:39","jp-tokyo","JP-S-01","S","JP","tokyo","39","food_culture_experience","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:39","variant:jp-tokyo:poi:39:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:40","jp-tokyo","JP-S-01","S","JP","tokyo","40","food_culture_experience","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:40","variant:jp-tokyo:poi:40:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:1","jp-kyoto","JP-S-01","S","JP","kyoto","1","landmark","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:1","variant:jp-kyoto:poi:1:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:2","jp-kyoto","JP-S-01","S","JP","kyoto","2","landmark","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:2","variant:jp-kyoto:poi:2:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:3","jp-kyoto","JP-S-01","S","JP","kyoto","3","landmark","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:3","variant:jp-kyoto:poi:3:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:4","jp-kyoto","JP-S-01","S","JP","kyoto","4","landmark","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:4","variant:jp-kyoto:poi:4:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:5","jp-kyoto","JP-S-01","S","JP","kyoto","5","landmark","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:5","variant:jp-kyoto:poi:5:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:6","jp-kyoto","JP-S-01","S","JP","kyoto","6","landmark","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:6","variant:jp-kyoto:poi:6:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:7","jp-kyoto","JP-S-01","S","JP","kyoto","7","landmark","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:7","variant:jp-kyoto:poi:7:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:8","jp-kyoto","JP-S-01","S","JP","kyoto","8","landmark","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:8","variant:jp-kyoto:poi:8:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:9","jp-kyoto","JP-S-01","S","JP","kyoto","9","landmark","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:9","variant:jp-kyoto:poi:9:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:10","jp-kyoto","JP-S-01","S","JP","kyoto","10","landmark","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:10","variant:jp-kyoto:poi:10:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:11","jp-kyoto","JP-S-01","S","JP","kyoto","11","museum_culture","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:11","variant:jp-kyoto:poi:11:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:12","jp-kyoto","JP-S-01","S","JP","kyoto","12","museum_culture","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:12","variant:jp-kyoto:poi:12:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:13","jp-kyoto","JP-S-01","S","JP","kyoto","13","museum_culture","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:13","variant:jp-kyoto:poi:13:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:14","jp-kyoto","JP-S-01","S","JP","kyoto","14","museum_culture","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:14","variant:jp-kyoto:poi:14:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:15","jp-kyoto","JP-S-01","S","JP","kyoto","15","museum_culture","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:15","variant:jp-kyoto:poi:15:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:16","jp-kyoto","JP-S-01","S","JP","kyoto","16","museum_culture","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:16","variant:jp-kyoto:poi:16:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:17","jp-kyoto","JP-S-01","S","JP","kyoto","17","historic_religious","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:17","variant:jp-kyoto:poi:17:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:18","jp-kyoto","JP-S-01","S","JP","kyoto","18","historic_religious","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:18","variant:jp-kyoto:poi:18:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:19","jp-kyoto","JP-S-01","S","JP","kyoto","19","historic_religious","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:19","variant:jp-kyoto:poi:19:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:20","jp-kyoto","JP-S-01","S","JP","kyoto","20","historic_religious","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:20","variant:jp-kyoto:poi:20:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:21","jp-kyoto","JP-S-01","S","JP","kyoto","21","historic_religious","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:21","variant:jp-kyoto:poi:21:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:22","jp-kyoto","JP-S-01","S","JP","kyoto","22","historic_religious","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:22","variant:jp-kyoto:poi:22:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:23","jp-kyoto","JP-S-01","S","JP","kyoto","23","nature_viewpoint","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:23","variant:jp-kyoto:poi:23:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:24","jp-kyoto","JP-S-01","S","JP","kyoto","24","nature_viewpoint","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:24","variant:jp-kyoto:poi:24:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:25","jp-kyoto","JP-S-01","S","JP","kyoto","25","nature_viewpoint","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:25","variant:jp-kyoto:poi:25:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:26","jp-kyoto","JP-S-01","S","JP","kyoto","26","nature_viewpoint","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:26","variant:jp-kyoto:poi:26:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:27","jp-kyoto","JP-S-01","S","JP","kyoto","27","nature_viewpoint","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:27","variant:jp-kyoto:poi:27:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:28","jp-kyoto","JP-S-01","S","JP","kyoto","28","family_theme","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:28","variant:jp-kyoto:poi:28:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:29","jp-kyoto","JP-S-01","S","JP","kyoto","29","family_theme","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:29","variant:jp-kyoto:poi:29:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:30","jp-kyoto","JP-S-01","S","JP","kyoto","30","family_theme","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:30","variant:jp-kyoto:poi:30:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:31","jp-kyoto","JP-S-01","S","JP","kyoto","31","family_theme","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:31","variant:jp-kyoto:poi:31:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:32","jp-kyoto","JP-S-01","S","JP","kyoto","32","district_neighborhood","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:32","variant:jp-kyoto:poi:32:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:33","jp-kyoto","JP-S-01","S","JP","kyoto","33","district_neighborhood","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:33","variant:jp-kyoto:poi:33:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:34","jp-kyoto","JP-S-01","S","JP","kyoto","34","district_neighborhood","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:34","variant:jp-kyoto:poi:34:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:35","jp-kyoto","JP-S-01","S","JP","kyoto","35","district_neighborhood","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:35","variant:jp-kyoto:poi:35:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:36","jp-kyoto","JP-S-01","S","JP","kyoto","36","market_shopping","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:36","variant:jp-kyoto:poi:36:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:37","jp-kyoto","JP-S-01","S","JP","kyoto","37","market_shopping","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:37","variant:jp-kyoto:poi:37:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-kyoto:38","jp-kyoto","JP-S-01","S","JP","kyoto","38","market_shopping","","","","","","","","","","","acquisition_required","source:jp-kyoto:poi:38","variant:jp-kyoto:poi:38:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
