"destination_id","batch_id","tier","region","country_code","prefecture_code","prefecture_name_ja","prefecture_name_en","entity_type","name_zh","name_ja","name_en","canonical_name","aliases","latitude","longitude","provider_type","provider_entity_id","attraction_quota","source_mode","source_job_id","md_variant_id","lg_variant_id","status","authenticity","rights_status","official_url","entity_provenance","coverage_note","review_notes"
"jp-sendai","JP-S-02","S","tohoku","JP","miyagi","宮城県","Miyagi","entity_resolution_required","","","Sendai","Sendai","","","","","","40","illustrative_city","source:jp-sendai:master","variant:jp-sendai:md","variant:jp-sendai:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/tohoku/miyagi/sendai-area/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Miyagi. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-hakodate","JP-S-02","S","hokkaido","JP","hokkaido","北海道","Hokkaido","entity_resolution_required","","","Hakodate","Hakodate","","","","","","40","illustrative_city","source:jp-hakodate:master","variant:jp-hakodate:md","variant:jp-hakodate:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/hokkaido/hokkaido/hakodate-and-hokkaido-south/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Hokkaido. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-otaru","JP-S-02","S","hokkaido","JP","","","","entity_resolution_required","","","Otaru","Otaru","","","","","","40","illustrative_city","source:jp-otaru:master","variant:jp-otaru:md","variant:jp-otaru:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-beppu","JP-S-03","S","kyushu-okinawa","JP","oita","大分県","Oita","entity_resolution_required","","","Beppu","Beppu","","","","","","40","illustrative_city","source:jp-beppu:master","variant:jp-beppu:md","variant:jp-beppu:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kyushu/oita/beppu-and-yufuin-around/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Oita. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-yufuin","JP-S-03","S","kyushu-okinawa","JP","","","","entity_resolution_required","","","Yufuin","Yufuin","","","","","","40","illustrative_city","source:jp-yufuin:master","variant:jp-yufuin:md","variant:jp-yufuin:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-nagasaki","JP-S-03","S","kyushu-okinawa","JP","nagasaki","長崎県","Nagasaki","entity_resolution_required","","","Nagasaki","Nagasaki","","","","","","40","illustrative_city","source:jp-nagasaki:master","variant:jp-nagasaki:md","variant:jp-nagasaki:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kyushu/nagasaki/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Nagasaki. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-kumamoto","JP-S-03","S","kyushu-okinawa","JP","kumamoto","熊本県","Kumamoto","entity_resolution_required","","","Kumamoto","Kumamoto","","","","","","40","illustrative_city","source:jp-kumamoto:master","variant:jp-kumamoto:md","variant:jp-kumamoto:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kyushu/kumamoto/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Kumamoto. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-aso","JP-S-03","S","kyushu-okinawa","JP","kumamoto","熊本県","Kumamoto","entity_resolution_required","","","Aso","Aso","","","","","","40","illustrative_city","source:jp-aso:master","variant:jp-aso:md","variant:jp-aso:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kyushu/kumamoto/aso-and-around","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Kumamoto. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-kagoshima","JP-S-03","S","kyushu-okinawa","JP","kagoshima","鹿児島県","Kagoshima","entity_resolution_required","","","Kagoshima","Kagoshima","","","","","","40","illustrative_city","source:jp-kagoshima:master","variant:jp-kagoshima:md","variant:jp-kagoshima:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kyushu/kagoshima/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Kagoshima. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-naha","JP-S-03","S","kyushu-okinawa","JP","okinawa","沖縄県","Okinawa","entity_resolution_required","","","Naha","Naha","","","","","","40","illustrative_city","source:jp-naha:master","variant:jp-naha:md","variant:jp-naha:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/okinawa/okinawa/naha-and-the-main-island","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Okinawa. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-ishigaki","JP-S-03","S","kyushu-okinawa","JP","","","","entity_resolution_required","","","Ishigaki","Ishigaki","","","","","","40","illustrative_city","source:jp-ishigaki:master","variant:jp-ishigaki:md","variant:jp-ishigaki:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-matsuyama","JP-S-03","S","shikoku","JP","ehime","愛媛県","Ehime","entity_resolution_required","","","Matsuyama","Matsuyama","","","","","","40","illustrative_city","source:jp-matsuyama:master","variant:jp-matsuyama:md","variant:jp-matsuyama:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/shikoku/ehime/matsuyama-and-around","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Ehime. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-takamatsu","JP-S-03","S","shikoku","JP","kagawa","香川県","Kagawa","entity_resolution_required","","","Takamatsu","Takamatsu","","","","","","40","illustrative_city","source:jp-takamatsu:master","variant:jp-takamatsu:md","variant:jp-takamatsu:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/shikoku/kagawa/takamatsu-area","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Kagawa. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-kochi","JP-S-04","S","shikoku","JP","kochi","高知県","Kochi","entity_resolution_required","","","Kochi","Kochi","","","","","","40","illustrative_city","source:jp-kochi:master","variant:jp-kochi:md","variant:jp-kochi:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/shikoku/kochi/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Kochi. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-fujikawaguchiko","JP-S-04","S","chubu","JP","","","","entity_resolution_required","","","Fujikawaguchiko","Fujikawaguchiko","","","","","","40","illustrative_city","source:jp-fujikawaguchiko:master","variant:jp-fujikawaguchiko:md","variant:jp-fujikawaguchiko:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-karuizawa","JP-S-04","S","chubu","JP","nagano","長野県","Nagano","entity_resolution_required","","","Karuizawa","Karuizawa","","","","","","40","illustrative_city","source:jp-karuizawa:master","variant:jp-karuizawa:md","variant:jp-karuizawa:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/hokuriku-shinetsu/nagano/karuizawa","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Nagano. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-matsumoto","JP-S-04","S","chubu","JP","nagano","長野県","Nagano","entity_resolution_required","","","Matsumoto","Matsumoto","","","","","","40","illustrative_city","source:jp-matsumoto:master","variant:jp-matsumoto:md","variant:jp-matsumoto:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/hokuriku-shinetsu/nagano/matsumoto-and-around","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Nagano. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-furano","JP-S-04","S","hokkaido","JP","","","","entity_resolution_required","","","Furano","Furano","","","","","","40","illustrative_city","source:jp-furano:master","variant:jp-furano:md","variant:jp-furano:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-biei","JP-S-04","S","hokkaido","JP","","","","entity_resolution_required","","","Biei","Biei","","","","","","40","illustrative_city","source:jp-biei:master","variant:jp-biei:md","variant:jp-biei:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-niseko","JP-S-04","S","hokkaido","JP","hokkaido","北海道","Hokkaido","entity_resolution_required","","","Niseko","Niseko","","","","","","40","illustrative_city","source:jp-niseko:master","variant:jp-niseko:md","variant:jp-niseko:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/hokkaido/hokkaido/niseko-and-nearby-ski-resorts/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Hokkaido. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-shiretoko","JP-S-04","S","hokkaido","JP","","","","entity_resolution_required","","","Shiretoko","Shiretoko","","","","","","40","illustrative_city","source:jp-shiretoko:master","variant:jp-shiretoko:md","variant:jp-shiretoko:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-noboribetsu","JP-S-04","S","hokkaido","JP","","","","entity_resolution_required","","","Noboribetsu","Noboribetsu","","","","","","40","illustrative_city","source:jp-noboribetsu:master","variant:jp-noboribetsu:md","variant:jp-noboribetsu:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-lake-toya","JP-S-04","S","hokkaido","JP","","","","entity_resolution_required","","","Lake Toya","Lake Toya","","","","","","40","illustrative_city","source:jp-lake-toya:master","variant:jp-lake-toya:md","variant:jp-lake-toya:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-asahikawa","JP-S-05","S","hokkaido","JP","hokkaido","北海道","Hokkaido","entity_resolution_required","","","Asahikawa","Asahikawa","","","","","","40","illustrative_city","source:jp-asahikawa:master","variant:jp-asahikawa:md","variant:jp-asahikawa:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/hokkaido/hokkaido/asahikawa-and-hokkaido-north/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Hokkaido. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-kushiro","JP-S-05","S","hokkaido","JP","hokkaido","北海道","Hokkaido","entity_resolution_required","","","Kushiro","Kushiro","","","","","","40","illustrative_city","source:jp-kushiro:master","variant:jp-kushiro:md","variant:jp-kushiro:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/hokkaido/hokkaido/kushiro-and-hokkaido-east/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Hokkaido. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-obihiro","JP-S-05","S","hokkaido","JP","","","","entity_resolution_required","","","Obihiro","Obihiro","","","","","","40","illustrative_city","source:jp-obihiro:master","variant:jp-obihiro:md","variant:jp-obihiro:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-aomori","JP-S-05","S","tohoku","JP","aomori","青森県","Aomori","entity_resolution_required","","","Aomori","Aomori","","","","","","40","illustrative_city","source:jp-aomori:master","variant:jp-aomori:md","variant:jp-aomori:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/tohoku/aomori/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Aomori. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-hirosaki","JP-S-05","S","tohoku","JP","","","","entity_resolution_required","","","Hirosaki","Hirosaki","","","","","","40","illustrative_city","source:jp-hirosaki:master","variant:jp-hirosaki:md","variant:jp-hirosaki:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-hachinohe","JP-S-05","S","tohoku","JP","","","","entity_resolution_required","","","Hachinohe","Hachinohe","","","","","","40","illustrative_city","source:jp-hachinohe:master","variant:jp-hachinohe:md","variant:jp-hachinohe:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
